Gender,Age stand,Study stand,Learning mode,Social stand,Attendance stand,Cohabitants,Previous SGPA stand,Current CPGA stand,Family income stand
Male,26,8.0,Online,2.0,90.0,Bachelor,2.44,2.44,20000
Male,21,3.0,Offline,1.0,98.0,Family,2.82,3.0,25000
Female,21,2.0,Offline,1.0,100.0,Family,3.9,3.9,50000
Male,21,0.08333333333333333,Online,12.0,98.0,Bachelor,3.33,3.33,0
Female,20,3.0,Offline,2.0,97.0,Bachelor,4.7,0.0,35000
Male,20,4.0,Offline,3.4722805176635183,90.0,Family,3.98,3.98,18000000
Female,21,2.0,Offline,1.0,100.0,Bachelor,3.4,3.8,60000
Male,22,3.1540296924708375,Online,2.0,70.0,Family,3.81,3.81,400000
Female,23,2.0,Offline,3.0,90.0,Family,3.97,3.97,20000
Male,20,8.0,Offline,8.0,90.0,Bachelor,3.33,3.33,30000
Female,21,3.0,Offline,3.0,70.0,Family,2.68,2.89,15000
Female,20,3.0,Online,2.5,95.0,Bachelor,3.84,3.84,30000
Female,20,2.0,Offline,1.0,75.0,Family,3.54,3.69,20000
Male,21,2.0,Offline,3.0,88.33627450980393,Bachelor,1.78,3.201095977596741,25000
Male,19,2.0,Offline,3.0,90.0,Family,2.32,2.8,35000
Male,20,3.0,Offline,3.0,90.0,Bachelor,4.0,4.0,50000
Male,22,2.0,Online,2.0,95.0,Family,2.760508706467662,3.201095977596741,207239
Male,20,5.0,Offline,0.5,90.0,Bachelor,3.8,3.8,20000
Male,22,0.0,Online,3.4722805176635183,0.0,Family,2.08,2.91,30000
Male,20,3.1540296924708375,Offline,3.4722805176635183,95.0,Bachelor,3.05,3.05,25000
Male,21,3.0,Online,5.0,90.0,Family,3.45,3.45,30
Female,19,1.0,Offline,3.0,98.0,Family,2.760508706467662,3.201095977596741,20000
Male,20,4.0,Offline,3.0,100.0,Bachelor,2.73,2.73,20000
Male,22,3.1540296924708375,Offline,2.0,80.0,Bachelor,3.2,3.29,40000
Female,20,6.0,Offline,2.0,100.0,Family,3.96,3.94,100000
Male,22,3.1540296924708375,Offline,6.0,60.0,Family,3.56,3.69,40000
Male,23,2.0,Offline,8.0,100.0,Family,0.0,0.0,40000
Female,19,2.0,Offline,1.0,100.0,Family,3.89,3.89,70000
Female,20,2.0,Offline,7.0,100.0,Family,0.0,0.0,15000
